Part, Description, Value, Case, Power, Supplier 1, Supplier Part Number 1, Library Path, Library Ref, Footprint Path, Footprint Ref, Company, Comment 
RES0402_8.06, "RES 0402 8.06Ohm 1/16W", 8.06, 0402, 1/16, Digikey, 541-8.06LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_8.25, "RES 0402 8.25Ohm 1/16W", 8.25, 0402, 1/16, Digikey, 541-8.25LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_8.45, "RES 0402 8.45Ohm 1/16W", 8.45, 0402, 1/16, Digikey, 541-8.45LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_8.66, "RES 0402 8.66Ohm 1/16W", 8.66, 0402, 1/16, Digikey, 541-8.66LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_8.87, "RES 0402 8.87Ohm 1/16W", 8.87, 0402, 1/16, Digikey, 541-8.87LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_9.09, "RES 0402 9.09Ohm 1/16W", 9.09, 0402, 1/16, Digikey, 541-9.09LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_9.31, "RES 0402 9.31Ohm 1/16W", 9.31, 0402, 1/16, Digikey, 541-9.31LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_9.53, "RES 0402 9.53Ohm 1/16W", 9.53, 0402, 1/16, Digikey, 541-9.53LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_9.76, "RES 0402 9.76Ohm 1/16W", 9.76, 0402, 1/16, Digikey, 541-9.76LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_10.0, "RES 0402 10.0Ohm 1/16W", 10.0, 0402, 1/16, Digikey, 541-10.0LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_10.2, "RES 0402 10.2Ohm 1/16W", 10.2, 0402, 1/16, Digikey, 541-10.2LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_10.5, "RES 0402 10.5Ohm 1/16W", 10.5, 0402, 1/16, Digikey, 541-10.5LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_10.7, "RES 0402 10.7Ohm 1/16W", 10.7, 0402, 1/16, Digikey, 541-10.7LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_11.0, "RES 0402 11.0Ohm 1/16W", 11.0, 0402, 1/16, Digikey, 541-11.0LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_11.3, "RES 0402 11.3Ohm 1/16W", 11.3, 0402, 1/16, Digikey, 541-11.3LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_11.5, "RES 0402 11.5Ohm 1/16W", 11.5, 0402, 1/16, Digikey, 541-11.5LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_11.8, "RES 0402 11.8Ohm 1/16W", 11.8, 0402, 1/16, Digikey, 541-11.8LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_12.1, "RES 0402 12.1Ohm 1/16W", 12.1, 0402, 1/16, Digikey, 541-12.1LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_12.4, "RES 0402 12.4Ohm 1/16W", 12.4, 0402, 1/16, Digikey, 541-12.4LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_12.7, "RES 0402 12.7Ohm 1/16W", 12.7, 0402, 1/16, Digikey, 541-12.7LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_13.0, "RES 0402 13.0Ohm 1/16W", 13.0, 0402, 1/16, Digikey, 541-13.0LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_13.3, "RES 0402 13.3Ohm 1/16W", 13.3, 0402, 1/16, Digikey, 541-13.3LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_13.7, "RES 0402 13.7Ohm 1/16W", 13.7, 0402, 1/16, Digikey, 541-13.7LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_14.0, "RES 0402 14.0Ohm 1/16W", 14.0, 0402, 1/16, Digikey, 541-14.0LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_14.3, "RES 0402 14.3Ohm 1/16W", 14.3, 0402, 1/16, Digikey, 541-14.3LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_14.7, "RES 0402 14.7Ohm 1/16W", 14.7, 0402, 1/16, Digikey, 541-14.7LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_15.0, "RES 0402 15.0Ohm 1/16W", 15.0, 0402, 1/16, Digikey, 541-15.0LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_15.4, "RES 0402 15.4Ohm 1/16W", 15.4, 0402, 1/16, Digikey, 541-15.4LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_15.8, "RES 0402 15.8Ohm 1/16W", 15.8, 0402, 1/16, Digikey, 541-15.8LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_16.2, "RES 0402 16.2Ohm 1/16W", 16.2, 0402, 1/16, Digikey, 541-16.2LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_16.5, "RES 0402 16.5Ohm 1/16W", 16.5, 0402, 1/16, Digikey, 541-16.5LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_16.9, "RES 0402 16.9Ohm 1/16W", 16.9, 0402, 1/16, Digikey, 541-16.9LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_17.4, "RES 0402 17.4Ohm 1/16W", 17.4, 0402, 1/16, Digikey, 541-17.4LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_17.8, "RES 0402 17.8Ohm 1/16W", 17.8, 0402, 1/16, Digikey, 541-17.8LCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
